label	or	lower	upper	midp.exact	fisher.exact	chi.square	fisher.exact.bh	group	histoneID
ENCFF052MHA	2.07117443122429	1.83118828820015	2.33730399367271	0	3.28384618692066e-28	1.42738542872073e-32	9.85153856076198e-28	normal	H3K9ac
ENCFF233NNT	0.964678579995645	0.831122779402147	1.11443317581137	0.629583967898979	0.657545382586945	0.651352693423845	0.699642457234773	normal	H3K36me3
ENCFF247VUO	1.31423093097904	0.572143159019724	2.62257996402953	0.490298550731515	0.52576855274569	0.641931994793399	0.606656022398873	normal	H3K27me3
ENCFF295GNH	1.97907929719926	1.76932757806259	2.20965439764661	0	3.5431075557006e-30	2.89662777578915e-34	2.65733066677545e-29	normal	H3K4me3
ENCFF308WNH	0.80366091004208	0.307361026327276	1.71412475043666	0.600222921268585	0.699642457234773	0.707850073650622	0.699642457234773	normal	H4K20me1
ENCFF354MGT	1.97843217988428	1.7655939797302	2.21286945881327	0	2.94597615371209e-29	3.16661852882729e-33	1.10474105764203e-28	normal	H3K4me3.1
ENCFF357HZM	1.20433790208115	1.05744786476512	1.36717748350417	0.00533066217104361	0.00551139217610184	0.00508591774415925	0.00918565362683639	normal	H3K79me2
ENCFF479XLN	0.917100077740761	0.754876302170283	1.10451508419029	0.367377509922039	0.397471121286205	0.391262661883697	0.572219217922127	normal	H3K36me3.1
ENCFF584NAD	2.55476700178805	2.22787675996272	2.92187573951462	0	2.28420716149534e-36	2.70853857143911e-44	3.42631074224301e-35	normal	H2AFZ
ENCFF682WIQ	1.25844118876361	0.667252231542103	2.17886239345676	0.455354557171024	0.419627426476226	0.565686732951873	0.572219217922127	normal	H3K9me3
ENCFF795URC	1.85359346461083	1.63813428404892	2.09236453462761	0	6.42658170281853e-21	1.77728196125686e-23	1.60664542570463e-20	normal	H3K4me3.2
ENCFF816AHV	1.98900174016472	1.77573092616292	2.22386325434535	0	7.94181731537883e-30	5.75583667561493e-34	3.97090865768942e-29	normal	H3K27ac
ENCFF921LKB	1.4694533858261	1.25251633556732	1.71529450728131	3.92974103746724e-06	4.21102676811777e-06	1.79101935500214e-06	7.89567519022081e-06	normal	H3K4me1
ENCFF983SMS	1.65180466062904	1.48506711239156	1.83412120711038	0	3.2855489738188e-19	7.32740699008335e-21	7.04046208675458e-19	normal	H3K4me2
ENCFF052MHA	4.24467861744118	3.2912245895801	5.42015840655832	0	1.44438659650911e-23	1.74561096845139e-34	7.22193298254556e-23	high	H3K9ac
ENCFF233NNT	0.721465041323771	0.423813661367869	1.14364533721162	0.173374711202561	0.228793814844068	0.217702943533864	0.311991565696457	high	H3K36me3
ENCFF247VUO	3.25606781287855	0.494902605755054	10.487004073366	0.178056181555668	0.147566885887335	0.315182465016394	0.221350328831002	high	H3K27me3
ENCFF295GNH	3.54184057257041	2.76709133169731	4.49306262906957	0	3.70373915078142e-20	2.88759916930529e-27	1.11112174523443e-19	high	H3K4me3
ENCFF308WNH	1.45187118344963	0.0624526387423378	6.48535669774097	0.73595838220152	0.548830404243938	0.999999999999464	0.588032575975648	high	H4K20me1
ENCFF354MGT	4.05761893396076	3.19713827305446	5.10997231740228	0	1.40463791632565e-25	3.10347955463569e-36	2.10695687448847e-24	high	H3K4me3.1
ENCFF357HZM	1.58612298228316	1.12659514481248	2.17695527556412	0.00916927695750003	0.0092713234758825	0.00781888770158118	0.0154522057931375	high	H3K79me2
ENCFF479XLN	0.784849765348747	0.401541805737886	1.3688634712754	0.416745894614744	0.490619680181032	0.48767627141407	0.566099630978114	high	H3K36me3.1
ENCFF584NAD	5.17371333588884	3.93580895779995	6.71817227005834	0	5.01745135489898e-25	2.30126818512916e-40	3.76308851617423e-24	high	H2AFZ
ENCFF682WIQ	1.00815707514684	0.0435199712993638	4.46253800299472	0.993718686689558	1	0.99999999999999	1	high	H3K9me3
ENCFF795URC	3.25124273444252	2.47055277660018	4.22296232611946	1.46549439250521e-14	1.13354814789382e-14	1.8863271449977e-19	2.83387036973454e-14	high	H3K4me3.2
ENCFF816AHV	3.61691774492841	2.8224764960574	4.59229201827371	0	1.64481739123552e-20	5.36083539552459e-28	6.16806521713321e-20	high	H3K27ac
ENCFF921LKB	1.90844679311922	1.25932441221678	2.77723950051985	0.0030922590325233	0.00350830133247358	0.00182271407914713	0.00657806499838797	high	H3K4me1
ENCFF983SMS	2.43000935236268	1.87578764482611	3.11357641506146	2.39127828649544e-10	2.53443580839252e-10	2.43271100055791e-12	5.43093387512683e-10	high	H3K4me2
